infj,infp,intj,isfj,isfp,esfp,intp,istp,enfj,enfp,estj,estp,entj,istj,entp,esfj,Project
0.1333,0.4,0.2,0.2,0.0667,0,0,0,0,0,0,0,0,0,0,0,Bagel
0,0.2857,0.0714,0,0,0.0714,0.5,0.0714,0,0,0,0,0,0,0,0,Bagel2
0.1667,0.3333,0.0833,0,0,0,0.4167,0,0,0,0,0,0,0,0,0,Blazer
0.1875,0.0625,0.3125,0.125,0,0,0,0.1875,0.0625,0.0625,0,0,0,0,0,0,Boston
0,0.2857,0.2857,0,0,0,0.4286,0,0,0,0,0,0,0,0,0,Crypto
0.125,0.4583,0.125,0,0,0,0.2083,0.0833,0,0,0,0,0,0,0,0,Cupid
0.0714,0.1071,0.1071,0.1071,0.0357,0.0357,0.3571,0,0.0714,0.1071,0,0,0,0,0,0,Cypher
0.1,0.3,0,0,0.1,0,0.1,0,0,0.2,0.1,0.1,0,0,0,0,Dragon
0.0333,0.0667,0.5333,0,0,0,0.3667,0,0,0,0,0,0,0,0,0,Falafel
0,0.5556,0.0556,0.0556,0,0,0.2778,0,0.0556,0,0,0,0,0,0,0,Flux
0.0556,0.2222,0.1111,0,0.0556,0,0.5556,0,0,0,0,0,0,0,0,0,Goldilocks
0.125,0.375,0.125,0,0,0,0.3125,0,0,0.0625,0,0,0,0,0,0,Guru
0.0667,0.6667,0,0,0.0667,0,0.1333,0,0,0.0667,0,0,0,0,0,0,Harvest
0.1333,0.2667,0.0667,0.1333,0,0,0.1333,0,0.1333,0.1333,0,0,0,0,0,0,Hollywood
0.0833,0.1667,0.3333,0,0,0,0.25,0,0.0833,0.0833,0,0,0,0,0,0,Levitate
0,0,0.2667,0,0,0,0.5333,0.0667,0,0.1333,0,0,0,0,0,0,Liteyear
0,0.3636,0,0,0,0,0.2727,0.1818,0.0909,0.0909,0,0,0,0,0,0,Luigi
0.1818,0.2273,0.1818,0.0909,0,0,0.2727,0,0,0,0,0,0.0455,0,0,0,Milkshake
0.0909,0.6364,0.0455,0,0.0455,0,0.1364,0,0,0,0,0,0,0.0455,0,0,Rise
0.0625,0.3125,0.125,0,0.0625,0.125,0.0625,0,0,0,0,0,0.0625,0.0625,0.125,0,Scoville
0.3077,0.3846,0,0.0769,0,0,0.2308,0,0,0,0,0,0,0,0,0,Shine
0.1667,0.1667,0.0833,0,0,0.0833,0.4167,0,0,0.0833,0,0,0,0,0,0,Shine2
0.1364,0.0455,0.0909,0,0,0,0.1364,0.0455,0,0.1364,0,0,0.0455,0,0.3636,0,Smoothie
0.1176,0.2941,0,0,0,0,0.4118,0,0,0.1176,0,0,0,0,0,0.0588,Sonic
0.1064,0.0213,0.6596,0,0,0.0213,0.0213,0,0,0.0426,0,0,0.1277,0,0,0,Splash
0.0667,0.3333,0.0667,0,0,0,0.3333,0.0667,0,0.0667,0,0,0.0667,0,0,0,Sprigg
0,0.6316,0,0,0.0526,0.0526,0.1053,0,0.1053,0.0526,0,0,0,0,0,0,Stitch
0.1667,0,0.3333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,Tardis
0.0769,0.3846,0,0,0,0.0769,0.3846,0.0769,0,0,0,0,0,0,0,0,Zag
0,0.4545,0,0,0,0,0.4545,0.0909,0,0,0,0,0,0,0,0,Zest
